,Sentence,Result
1513,"( . terminate to authorised is he which calls established terminate be possible to initiate the of ) recipient(s intended the on : depending four of one in calls voice outgoing ways actions ; call the with provided is System : call a Initiating ) M ( : follows as necessary information to set an Provide : Indication ; ) priority be , bearer , number eg ( call up type audible shall another ) 11 section see ( message USSD a on based automatically deregistered be registered or sent by the Cab to call originated mobile a for required user actions sequence The ) M","[Useful Class, Useful Use Case, Useful Activity]"
1514,( . radio of priority and indication a to call terminated mobile a for actions of sequence,"[Not Useful Class, Not Useful Use Case, Useful Activity]"
1515,The . call the terminates driver shall be as of basis the on requests call of call Management arbitration Call ) M ( : follows : visual the involved ; priority call of basis the on requests call of Management : arbitration,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
1516,Call ; Conversation : Where the parties the of one Where : termination in Call communicate can call the in involved parties ; to initiate a stored of list a support to provided be shall Facilities ) M,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
1517,( . radio names / numbers of be shall access number Stored ) M the,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
1518,( entries 100 of minimum a to up . provided in number . function ’ controller Call ‘ the initiating after controllers relevant the of all to,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
1519,( I ) The stored from number / name a selecting information by a initiate to able be shall driver call established to the to possible be shall,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
1520,It . ) 4 designation priority eMLPP ( calls information railway store a priority in initiate to able be shall driver The of ),"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
1521,"( . number stored a with association M initiate priority have calls , entry of time at indicated otherwise Unless ) M ( : calls following from the stored numbers will calls , default By ) M a","[Not Useful Class, Useful Use Case, Useful Activity]"
1522,( calls voice as initiated be shall list . be may call following the initiate to provided be shall access,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
1523,Emergency . manually numbers functional or telephone call : ( M activation,"[Not Useful Class, Useful Use Case, Useful Activity]"
1524,On,"It seems like your input is incomplete. Could you please provide the full sentence so I can determine its usefulness for Class Diagram, Use Case Diagram, or Activity Diagram?"
1525,") M ( : following select the to provided be shall access Priority ) initiate of or to selection the Through : number Stored ; ) stroke key single a eg ( call of a stored number driver the for Facility : access Dial enter ; access type menu eg ( name or ) the “ call of means external no and , cell a with associated type same the of controllers selecting the appropriate one VGCS a or , driver the to several system by given be may choice the , the are there","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
1526,"When to guidance additional provide shall MMI the the , ” train same the on drivers other function call user the ) * ( ) M","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
1527,( . in call - Multi a of management and establishment Party capable capable selecting specified those to limited be shall radio Cab the with associated antenna mounted train the by [ EN 301 the into radiating emissions Any ) M from,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
1528,"( ] ] 35 [ Index , 515 . driver Emissions M Cab the from emission EMC ) I","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
1529,"( . power transmission higher and , equipment radio shall comply with","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
1530,"( . ] 4 and 2 - ) 3 2 , 1 parts 50121 ENV [ , protection ’s and IEC [ in defined as tests electrical pass shall radio Cab The ) M","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
1531,"( 571 parts 1 , taken be may procedures testing on guidelines . Additional M","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
1532,"( . ] 3 and 2 ) cab degree highest in defined requirements the meet shall aerial exterior the from equipment board - on other [ ENV 50121 parts the to ] 4 and 2 - possible 3 1 - 3 , 2 , 1 , from and mounted for voltage over % 20 ; voltage supply nominal of % ±15 to up fluctuations up to 10s ; Cab","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
1533,The . ] 3 - 1 voltage parts IEC [ to according effects transient other 571 radio ) ( radio Cab,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
1534,The . % 75 standby ; % 5 calls group ; % 20 equipment shall be of : operation normal interrupting without supplies power M backup main the to changes following the withstanding and control shall the Cab the for emissions EMC on Requirements ) M,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
1535,( . ] 50153 EN [ radio are to be train other to proximity close to due in types other for defined those than stringent more radio withstand defined equipment M,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
1536,( . ] 50155 prEN [ in defined as transients supply power of effects ) The driver and mobile EIRENE from arising hazards electrical all as against be shall equipment cab - in other protected [ prEN 50129 radio Cab The ) O,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
1537,"( . ] 568 , 558 UIC [ Fiches UIC and the Driver ’s be may or ) TIU ( Unit the Interface the via connected be may Device Safety Train connected of the of specifications the with comply should interface Address Public the , implemented If ) M the UIC Fiche [ with comply should interface UIC the , specifications implemented ) O","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
1538,( . ] 568 UIC If,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
1539,"( directly means be may Unit Interface Train a , necessary Where ) O","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
1540,( . standard RS422 implemented to adapt on be the status . radio Cab the the by interfaces standard the to systems train - provided by of should form the take may interfaces Other ) I,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
1541,"( . interface determined nationally a of of additional audio and they , implemented are interfaces data other be Where I","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
1542,( . outputs and inputs data ) . implemented be interfaces Other ; ) O ( ; Device Safety ’s Driver ; ) O ( .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
1543,"( O ) sections following the in stated requirements the ; to are interfaces these , implemented","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
1544,Where . subject . Intercom ; recorder borne Train ) I,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
1545,( . ] 1 part 1508 IEC [ and ] ; ( O ) ) O ( ; Address Public ; UIC ) ( ; interface ETCS / ERTMS ; O,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
1546,( I ) / ERTMS If ) I,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
1547,( . ETCS / ERTMS for communications provide to required ETCS communications are required shall ] FFFIS EURO MORANE,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
1548,"[ EURORADIO be for the in defined as interface an , FFFIS will radios Cab Unit Interface Train the via connected be ( may borne train the and radio Cab The recorder calls TIU or Some ) I","[Useful Class, Not Useful Use Case, Not Useful Activity]"
1549,( . interface determined ) nationally of means by directly connected be may a point - to of capable be shall radio Cab The ) I,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
